name,brand,price,ratings,specs_score,os,processor,ram,storage,graphics,screen_size,resoultion,cores,threads,warranty,image_url
Dell G15-5530 GN5530194YM001ORB1 Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ RTX 3050 6GB Graph),Dell,93990.0,4.6,69.0,Windows 11 OS,13th Gen Intel Core i7 13650HX,16 GB DDR5 RAM,1 TB SSD,6 GB NVIDIA GeForce RTX 3050,15.6 inches,1920 x 1080 pixels,14 Cores (6P + 8E),,1 Year Warranty,https://cdn1.smartprix.com/rx-ifVDHHaGM-w280-h280/dell-g15-5530-gn5530.webp
Infinix INBook Y4 Max Series YL613 Laptop (13th Gen Core i3/ 16GB/ 512GB SSD/ Win 11 Home),Infinix,39990.0,4.45,54.0,Windows 11 OS,13th Gen Intel Core i3 1315U,16 GB LPDDR4X RAM,512 GB SSD,Intel UHD Graphics,16 inches,1920 x 1200 pixels,Hexa Core (2P + 4E), 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-i5lcPQlPn-w280-h280/infinix-inbook-y4-ma.webp
HP 15s-fr5010TU Laptop (12th Gen Core i5/8GB/ 512GB SSD/ Win11 Home),HP,48470.0,4.25,55.0,Windows 11 OS,12th Gen Intel Core i5 1235U,8 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,15.6 inches,1920 x 1080 pixels,10 Cores (2P + 8E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iXpu8urP5-w280-h280/hp-15s-fr5010tu-lapt.webp
Asus Chromebook CM14 CM1402CM2A-EK0085 Laptop (MediaTek Kompanio 520/ 8GB/ 128GB eMMC/ Chrome OS),Asus,26990.0,4.65,,Chrome OS,MediaTek Kompanio Kompanio 520,8 GB LPDDR4X RAM,128 GB eMMC Storage,Arm Mali G52 MC2 2EE,14 inches,1920 x 1080 pixels,Octa Core,,1 Year Warranty,https://cdn1.smartprix.com/rx-iA7Ei9xYE-w280-h280/asus-chromebook-cm14.webp
Acer Aspire Lite AL15-52 15 Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win11),Acer,46990.0,4.35,60.0,Windows 11 OS,12th Gen Intel Core i5 1235U,16 GB DDR4 RAM,1 TB SSD,Intel Iris Xe Graphics,15.6 inches,1920 x 1080 pixels,10 Cores (2P + 8E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-izaoH2L1O-w280-h280/acer-aspire-lite-al1.webp
Lenovo IdeaPad Slim 3 83ER008GIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),Lenovo,47400.0,4.5,57.0,Windows 11 OS,12th Gen Intel Core i5 12450H,16 GB LPDDR5 RAM,512 GB SSD,Intel Integrated UHD Graphics,15.6 inches,1920 x 1080 pixels,Octa Core (4P + 4E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iN66EVQTK-w280-h280/lenovo-ideapad-slim.webp
Chuwi Gemibook X Pro Laptop (Intel Celeron N100/ 8 GB/ 256 GB SSD/ Win11 Home),Chuwi,22990.0,4.45,,Windows 11 OS,12th Gen Intel N100 N100,8 GB LPDDR5 RAM,256 GB SSD,Intel Integrated UHD Graphics,14.1 inches,1920 x 1080 pixels,Quad Core, 4 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iXczlZXsl-w280-h280/chuwi-gemibook-x-pro.webp
Acer Nitro V 15 ANV15-51 Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),Acer,69990.0,4.15,60.0,Windows 11 OS,13th Gen Intel Core i5 13420H,16 GB DDR5 SDRAM RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 3050,15.6 inches,1920 x 1080 pixels,Octa Core (4P + 4E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iC7yONe0k-w280-h280/acer-nitro-v-15-anv1.webp
Dell G15-5530 Gaming Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),Dell,78990.0,4.6,68.0,Windows 11 OS,13th Gen Intel Core i5 13450HX,16 GB DDR5 RAM,1 TB SSD,6 GB NVIDIA GeForce RTX 3050,15.6 inches,1920 x 1080 pixels,10 Cores (6P + 4E), 16 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-ivl17P4n6-w280-h280/dell-g15-5530-gaming.webp
Lenovo IdeaPad Slim 1 82R400BGIN Laptop (AMD Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11 Home),Lenovo,34100.0,4.6,,Windows 11 OS,5th Gen AMD Ryzen 5 5500U,8 GB  DDR4 RAM,512 GB SSD,AMD Radeon Graphics,15.6 inches,1920 x 1080 pixels,Hexa Core, 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-ivp89KnId-w280-h280/lenovo-ideapad-slim.webp
Acer Nitro V16 ANV16-41 Gaming AI Laptop (AMD Ryzen 7 8845HS/ 16GB/ 1TB SSD/ Win11/ 8GB Graphics),Acer,129990.0,4.5,69.0,Windows 11 OS,8th Gen AMD Ryzen 7 8845HS,16 GB DDR5 RAM,1 TB SSD,8 GB NVIDIA GeForce RTX 4060,16 inches,1920 x 1200 pixels,Octa Core, 16 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-isMqbVbno-w280-h280/acer-nitro-v16-anv16.webp
Lenovo IdeaPad 1 15ALC7 82R400ERIN Laptop (AMD Ryzen 5 5500U / 16GB/ 512GB SSD/ Win11 Home),Lenovo,35900.0,4.6,56.0,Windows 11 OS,5th Gen AMD Ryzen 5 5500U,16 GB DDR4 RAM,512 GB SSD,AMD Radeon,15.6 inches,1920 x 1080 pixels,Hexa Core, 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-i82G1nmoa-w280-h280/lenovo-ideapad-1-15a.webp
Lenovo Yoga Slim 6 14IRH8 83E00017IN Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),Lenovo,84399.0,4.1,60.0,Windows 11 OS,13th Gen Intel Core i7 13700H,16 GB LPDDR5X RAM,1 TB SSD,Intel Integrated Iris Xe,14 inches,1920 x 1200 pixels,14 Cores (6P + 8E), 20 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-ijESOIbCZ-w280-h280/lenovo-yoga-slim-6-1.webp
Lenovo IdeaPad Slim 3i 82RK011EIN Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),Lenovo,62020.0,4.4,61.0,Windows 11 OS,12th Gen Intel Core i7 1255U,16 GB DDR4 RAM,512 GB SSD,Integrated Intel IrisXe Graphics,15.6 inches,1920 x 1080 pixels,10 Cores (2P + 8E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iJiN0hS9u-w280-h280/lenovo-ideapad-slim.webp
Lenovo IdeaPad Gaming 3 15IAH7 82S9017TIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),Lenovo,67995.0,4.15,61.0,Windows 11 OS,12th Gen Intel Core i5 12450H,16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,15.6 inches,1920 x 1080 pixels,Octa Core (4P + 4E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-ifNNpcttj-w280-h280/lenovo-ideapad-gamin.webp
HP 15s-EQ2084AU Laptop (AMD Ryzen 7 5700U/ 16GB/ 512GB SSD/ Win11 Home),HP,46800.0,4.75,57.0,Windows 11 OS,5th Gen AMD Ryzen 7  5700U,16 GB DDR4 RAM,512 GB SSD,AMD Radeon AMD,15.6 inches,1920 x 1080 pixels,Octa Core, 16 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-ivoT2KZyS-w280-h280/hp-15s-eq2084au-lapt.webp
Lenovo IdeaPad Slim 5 14IAH8 83BF0043IN Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win11),Lenovo,59490.0,4.1,56.0,Windows 11 OS,12th Gen Intel Core i5 12450H,16 GB LPDDR5 RAM,1 TB SSD,Integrated Intel UHD Graphics,14 inches,1920 x 1200 pixels,Octa Core (4P + 4E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iSlqCvLRM-w280-h280/lenovo-ideapad-slim.webp
Acer Aspire Lite AL15-52 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Acer,50938.0,4.4,59.0,Windows 11 OS,12th Gen Intel Core i5 1235U,16 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,15.6 inches,1920 x 1080 pixels,10 Cores (2P + 8E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-ite39wTdj-w280-h280/acer-aspire-lite-al1.webp
Acer Aspire Lite AL15-52 2023 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),Acer,39465.0,4.3,56.0,Windows 11 OS,12th Gen Intel Core i5 1235U,8 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,15.6 inches,1920 x 1080 pixels,10 Cores (2P + 8E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-i23v3xo8I-w280-h280/acer-aspire-lite-al1.webp
Avita Liber AM15A2INT56F Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),Avita,25990.0,4.05,,Windows 11 OS,12th Gen Intel Core i3 1215U,8 GB  RAM,512 GB SSD,Intel Integrated Graphics,15.6 inches,1920 x 1080 pixels,Hexa Core (2P + 4E), 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-ikwnViJtB-w280-h280/avita-liber-am15a2in.webp
HP Victus 15-fa1145TX Gaming Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win11 Home/ 4GB Graph),HP,67900.0,4.55,68.0,Windows 11 OS,12th Gen Intel Core i5 12450H,16 GB DDR4 RAM,1 TB SSD,4 GB NVIDIA GeForce RTX 2050,15.6 inches,1920 x 1080 pixels,Octa Core (4P + 4E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iInaH6OZT-w280-h280/hp-victus-15-fa1145t.webp
Apple MacBook Pro 16 2023 Laptop (Apple M3 Pro/ 18GB/ 512GB SSD/ macOS),Apple,189994.0,4.2,56.0,Mac OS,Apple M3 Pro,18 GB  RAM,512 GB SSD,18 Core GPU,16.2 inches,3456 x 2234 pixels,12 Cores (6P + 6E),,1 Year Warranty,https://cdn1.smartprix.com/rx-ipO0D0DmL-w280-h280/apple-macbook-pro-16.webp
Apple MacBook Pro 14 2023 Laptop (Apple M3 Pro/ 18GB/ 512GB SSD/ macOS),Apple,186699.0,4.75,54.0,Mac OS,Apple M3 Pro,18 GB  RAM,512 GB SSD,14 Core GPU,14.2 inches,3024 x 1964 pixels,11 Cores (5P + 6E),,1 Year Warranty,https://cdn1.smartprix.com/rx-iRWiA1gtO-w280-h280/apple-macbook-pro-14.webp
Apple MacBook Pro 14 2023 Laptop (Apple M3/ 8GB/ 1TB SSD/ macOS),Apple,142994.0,4.1,52.0,Mac OS,Apple M3,8 GB  RAM,1 TB SSD,10 Core GPU,14.2 inches,3024 x 1964 pixels,Octa Core (4P + 4E),,1 Year Warranty,https://cdn1.smartprix.com/rx-iWm0h85E0-w280-h280/apple-macbook-pro-14.webp
Apple MacBook Pro 14 2023 Laptop (Apple M3 Pro/ 18GB/ 1TB SSD/ macOS),Apple,194994.0,4.35,56.0,Mac OS,Apple M3 Pro,18 GB  RAM,1 TB SSD,18 Core GPU,14.2 inches,3024 x 1964 pixels,12 Cores (6P + 6E),,1 Year Warranty,https://cdn1.smartprix.com/rx-iq7ZH7Rgx-w280-h280/apple-macbook-pro-14.webp
Apple MacBook Pro 14 2023 Laptop (Apple M3 Max/ 36GB/ 1TB SSD/ macOS),Apple,259994.0,4.2,63.0,Mac OS,Apple M3 Max,36 GB  RAM,1 TB SSD,30 Core GPU,14.2 inches,3024 x 1964 pixels,14 Cores (10P + 4E),,1 Year Warranty,https://cdn1.smartprix.com/rx-iNh6upGAr-w280-h280/apple-macbook-pro-14.webp
Lenovo IdeaPad Gaming 3 Gen 6 82K2028QIN Laptop (AMD Ryzen 5 5500H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),Lenovo,57500.0,4.4,62.0,Windows 11 OS,5th Gen AMD Ryzen 5 5500H,8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 2050,15.6 inches,1920 x 1080 pixels,Quad Core, 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-irZTgedXS-w280-h280/lenovo-ideapad-gamin.webp
Asus Chromebook CX1500CKA-EJ0247 Laptop (Celeron N4500/ 8GB/ 128GB eMMC/ Chrome OS),Asus,24799.0,4.4,,Chrome OS,Intel Celeron N4500,8 GB LPDDR4X RAM,128 GB Hard Disk,Intel Integrated UHD,15.6 inches,1920 x 1080 pixels,Dual Core, 2 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-ibbcXaEtW-w280-h280/asus-chromebook-cx15.webp
Asus Vivobook 15 X1502ZA-EJ385WS Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),Asus,43400.0,4.1,53.0,Windows 11 OS,12th Gen Intel Core i3 1220P,8 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,15.6 inches,1920 x 1080 pixels,10 Cores (2P + 8E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-ivMyeMDSY-w280-h280/asus-vivobook-15-x15.webp
Apple MacBook Pro 14 2023 Laptop (Apple M3/ 8GB/ 512GB SSD/ macOS),Apple,139999.0,4.5,50.0,Mac OS,Apple M3,8 GB  RAM,512 GB SSD,10 Core GPU,14.2 inches,3024 x 1964 pixels,Octa Core (4P + 4E),,1 Year Warranty,https://cdn1.smartprix.com/rx-iXwF9aXwY-w280-h280/apple-macbook-pro-14.webp
Acer Aspire Lite AL15-52 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),Acer,29990.0,4.55,54.0,Windows 11 OS,12th Gen Intel Core i3 1215U,8 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,15.6 inches,1920 x 1080 pixels,Hexa Core (2P + 4E), 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iRHfT09Qw-w280-h280/acer-aspire-lite-al1.webp
HP 250 G9 7M657PA Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),HP,32700.0,4.4,56.0,Windows 11 OS,12th Gen Intel Core i3 1215U,8 GB DDR4 RAM,512 GB SSD,Intel Integrated,15.6 inches,1366 x 768 pixels,Hexa Core (2P + 4E), 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-i8d8BbDnr-w280-h280/hp-250-g9-7m657pa-la.webp
Lenovo V15 G4 Laptop (AMD Ryzen 5 7520U/ 8GB/ 512GB SSD/ Win11 Home),Lenovo,37990.0,4.65,50.0,Windows 11 OS,7th Gen AMD Ryzen 5 7520U ,8 GB DDR5 RAM,512 GB SSD,AMD Radeon Graphics,15.6 inches,1920 x 1080 pixels,Quad Core, 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iuheiy1e3-w280-h280/lenovo-v15-g4-laptop.webp
Lenovo IdeaPad 1 15AMN7 82VG00ERIN Laptop (AMD Ryzen 3 7320U / 8GB/ 512GB SSD/ Win11 Home),Lenovo,32160.0,4.25,51.0,Windows 11 OS,7th Gen AMD Ryzen 3 7320U,8 GB LPDDR5 RAM,512 GB SSD,AMD Radeon 610M,15.6 inches,1920 x 1080 pixels,Quad Core, 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-icDhrRu8A-w280-h280/lenovo-ideapad-1-15a.webp
HP Pavilion Plus ‎14-ey0789AU Laptop (AMD Ryzen 7 7840H/ 16GB/ 1TB SSD/ Win 11),HP,87800.0,4.1,69.0,Windows 11 OS,7th Gen Amd Ryzen 7 7840H,16 GB LPDDR5x RAM,1 TB SSD,AMD Radeon 780M Graphics,14 inches,2880 x 1800 pixels,Octa Core, 16 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iJxqfq0T8-w280-h280/hp-pavilion-plus-14.webp
Primebook PBMTWIFI11064 Wi-Fi Laptop (MediaTek MT8183/ 4GB/ 64B eMMC/ Prime OS),Primebook,17399.0,4.25,,1 Year Warranty,MediaTek MT8183,4 GB LPDDR4 RAM,64 GB Hard Disk,ARM Mali G72,11.6 inches,1366 x 768 pixels,Octa Core,,2 USB 3.0 Ports,https://cdn1.smartprix.com/rx-iS8k362za-w280-h280/primebook-pbmtwifi11.webp
Acer One 11 Z8-284 UN.013SI.032 Laptop ( Intel Celeron N4500/ 8GB/ 256GB SSD/ Win11 Home),Acer,19999.0,4.45,,Windows 11 OS,Intel Celeron N4500,8 GB DDR4 RAM,256 GB SSD,Intel Integrated UHD,11.6 inches,1366 x 768 pixels,Dual Core, 2 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-i6kXCQGLy-w280-h280/acer-one-11-z8-284-u.webp
Lenovo IdeaPad Gaming 3 15ACH6 82K20289IN Laptop (AMD Ryzen 5 5500H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),Lenovo,68990.0,4.4,59.0,Windows 11 OS,5th Gen AMD Ryzen 5 5500H,8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 2050,15.6 inches,1920 x 1080 pixels,Quad Core, 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iGbpa9rHA-w280-h280/lenovo-ideapad-gamin.webp
Lenovo IdeaPad Flex 5 14IRU8 82Y00051IN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),Lenovo,79990.0,4.2,60.0,Windows 11 OS,13th Gen Intel Core i5 1335U,16 GB LPDDR4X RAM,512 GB SSD,Intel Integrated Iris Xe,14 inches,1920 x 1200 pixels,10 Cores (2P + 8E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-igm69vhHm-w280-h280/lenovo-ideapad-flex.webp
Lenovo IdeaPad Slim 1 82VG00EVIN Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11 Home),Lenovo,28870.0,4.35,52.0,Windows 11 OS,7th Gen AMD Ryzen 3 7320U,8 GB LPDDR5 RAM,512 GB SSD,AMD Radeon Graphics,15.6 inches,1920 x 1080 pixels,Quad Core, 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iwQUEwsCs-w280-h280/lenovo-ideapad-slim.webp
Asus CX1101CMA-GJ0004 Chromebook (Celeron N4020/ 4GB/ 32GB eMMC/ Chrome OS),Asus,15789.0,4.55,,Chrome OS,Intel Celeron  N4020,4 GB LPDDR4 RAM,32 GB Hard Disk,Intel UHD Graphics 600,11.6 inches,1366 x 768 pixels,Dual Core, 2 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-i0Trh47To-w280-h280/asus-cx1101cma-gj000.webp
Asus Vivobook 16 2023 X1605VA-MB947WS Laptop (13th Gen Core i9/ 16GB/ 512GB SSD/ Win11 Home),Asus,73799.0,4.7,65.0,Windows 11 OS,13th Gen Intel Core i9 13900H,16 GB DDR4 RAM,512 GB SSD,Integrated Intel Iris Xe Graphics,16 inches,1920 x 1200 pixels,14 Cores (6P + 8E), 20 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iCKZmVAt5-w280-h280/asus-vivobook-16-202.webp
Acer Aspire 5 2023 A515-58GM Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graphics),Acer,61990.0,4.5,63.0,Windows 11 OS,13th Gen Intel Core i5 1335U,16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 2050,15.6 inches,1920 x 1080 pixels,10 Cores (2P + 8E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-ipMsRpnnV-w280-h280/acer-aspire-5-2023-a.webp
Lenovo V15 G3 82TTA02UIH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),Lenovo,43490.0,4.15,57.0,Windows 11 OS,12th Gen Intel Core i5 1235U,8 GB DDR4 RAM,512 GB SSD,Intel Integrated UHD,15.6 inches,1920 x 1080 pixels,10 Cores (2P + 8E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iQiuTvxd1-w280-h280/lenovo-v15-g3-82tta0.webp
HP 255 G9 724N9EA Laptop (AMD Athlon Silver 3050U/ 4GB/ 256GB SSD/ Win11),HP,25100.0,4.35,,Windows 11 OS,3rd Gen AMD Athlon 3050U,4 GB DDR4 RAM,256 GB SSD,AMD Integrated,15.6 inches,1366 x 768 pixels,Dual Core, 2 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-it3umPfbE-w280-h280/hp-255-g9-724n9ea-la.webp
Dell Vostro 3530 Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11),Dell,52490.0,4.4,52.0,Windows 11 OS,13th Gen Intel Core i5 1335U,8 GB DDR4 RAM,512 GB SSD,Intel Integrated Graphics ,15.6 inches,1920 x 1080 pixels,10 Cores (2P + 8E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iF16JlZw8-w280-h280/dell-vostro-3530-lap.webp
Dell Inspiron 3520 15 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),Dell,49990.0,4.15,53.0,Windows 11 OS,12th Gen Intel Core i5 1235U,8 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,15.6 inches,1920 x 1080 pixels,10 Cores (2P + 8E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iTQbEh7ax-w280-h280/dell-inspiron-3520-1.webp
Dell Inspiron 15 3520 IN352092K4N001ORS1 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Dell,52499.0,4.55,52.0,Windows 11 OS,12th Gen Intel Core i5 1235U,16 GB DDR4 RAM,512 GB SSD,Intel Integrated Graphics,15.6 inches,1920 x 1080 pixels,10 Cores (2P + 8E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-itaefTpS5-w280-h280/dell-inspiron-15-352.webp
Lenovo IdeaPad Flex 5 Gen 8 82XX0070IN Laptop (AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home),Lenovo,64990.0,4.35,65.0,Windows 11 OS,7th Gen AMD Ryzen 5 7530U,16 GB LPDDR4X RAM,512 GB SSD,AMD Radeon AMD,14 inches,1920 x 1200 pixels,Hexa Core, 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-ij49jppkU-w280-h280/lenovo-ideapad-flex.webp
HP 240 G9 821J4PA Laptop (12th Gen Core i5/ 8GB/ 512 GB SSD/ Win11),HP,52499.0,4.1,59.0,Windows 11 OS,12th Gen Intel Core i5 1235U,8 GB DDR4 RAM,512 GB SSD,Intel Integrated,14 inches,1366 x 768 pixels,10 Cores (2P + 8E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-ivIDB5m7m-w280-h280/hp-240-g9-821j4pa-la.webp
Lenovo IdeaPad Gaming 3 15IHU6 82K101PBIN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),Lenovo,53990.0,4.25,63.0,Windows 11 OS,11th Gen Intel Core i5 11320H,8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 2050,15.6 inches,1920 x 1080 pixels,Quad Core, 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iae0MwYvU-w280-h280/lenovo-ideapad-gamin.webp
Acer Nitro V ANV15-51 2023 Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),Acer,79988.0,4.55,59.0,Windows 11 OS,13th Gen Intel Core i5 13420H,16 GB DDR5 SDRAM RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 4050,15.6 inches,1920 x 1080 pixels,Octa Core (4P + 4E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iYTHqR6dC-w280-h280/acer-nitro-v-anv15-5.webp
HP Victus 16-s0095AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),HP,89100.0,4.0,72.0,Windows 11 OS,7th Gen AMD Ryzen 7 7840HS,16 GB DDR5 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 3050,16.1 inches,1920 x 1080 pixels,Octa Core, 16 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iuf6vBFtp-w280-h280/hp-victus-16-s0095ax.webp
Dell Inspiron 3530 IN3530RW8JY001ORS1 Laptop (13th Gen Core i5/ 8GB/ 1TB SSD/ Win11 Home),Dell,53990.0,4.1,,Windows 11 OS,13th Gen Intel Core i5 1335U,8 GB DDR4 RAM,1 TB SSD,Intel Integrated Integrated Intel® UHD Graphics,15.6 inches,1920 x 1080 pixels,10 Cores (2P + 8E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iXo15Gegt-w280-h280/dell-inspiron-3530-i.webp
Lenovo IdeaPad 3 82XQ008TIN Laptop (AMD Ryzen 5/ 8GB/ 512GB SSD/ Win11 Home),Lenovo,42519.0,4.3,,Windows 11 OS,7th Gen Amd Ryzen 5 7520U,8 GB LPDDR5 RAM,512 GB SSD,Integrated AMD Radeon 610M,15.6 inches,1920 x 1080 pixels,Quad Core, 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-i9vgQ58fK-w280-h280/lenovo-ideapad-3-82x.webp
HP Victus 15-FB1001AX Gaming Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),HP,54900.0,4.45,66.0,Windows 11 OS,7th Gen AMD Ryzen 5 7535HS,8 GB DDR5 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 2050,15.6 inches,1920 x 1080 pixels,Hexa Core, 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iRQpo7dU7-w280-h280/hp-victus-15-fb1001a.webp
Acer Aspire 7 A715-76G NH.QMYSI.001 Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),Acer,51299.0,4.2,64.0,Windows 11 OS,12th Gen Intel Core i5 12450H,8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 2050,15.6 inches,1920 x 1080 pixels,Octa Core (4P + 4E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-ivBee9CJG-w280-h280/acer-aspire-7-a715-7.webp
HP 255 G8 7J035AA Laptop (Ryzen 5-5500U/ 8GB/ 256GB SSD/ Win11),HP,39140.0,4.05,52.0,Windows 11  OS,5th Gen AMD Ryzen 5  5500U,8 GB DDR4 RAM,256 GB SSD,AMD Radeon ,15.6 inches,1920 x 1080 pixels,Hexa Core, 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iufVupCAz-w280-h280/hp-255-g8-7j035aa-la.webp
Asus Chromebook CX1500CKA-EJ0241 Laptop (Celeron N4500/ 4GB/ 64GB eMMC/ Chrome OS),Asus,13999.0,4.65,,Chrome OS,Intel Celeron N4500,4 GB LPDDR4X RAM,64 GB SSD,Intel Integrated UHD,15.6 inches,1920 x 1080 pixels,Dual Core, 2 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-inq8sKpiZ-w280-h280/asus-chromebook-cx15.webp
Lenovo IdeaPad Flex 5 82Y0004YIN Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),Lenovo,50999.0,4.0,55.0,Windows 11 OS,13th Gen Intel Core i3 1315U,8 GB LPDDR4x RAM,512 GB SSD,Intel Integrated UHD Graphics,14 inches,1920 x 1200 pixels,Hexa Core (2P + 4E), 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iltVnkl02-w280-h280/lenovo-ideapad-flex.webp
